 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:   -0.678803   -0.657107    0.014986 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
   269     -0.741856     -0.437783      0.021999     19.1099       64.88
   270     -1.261741     -0.592200      0.035195     19.1124       64.87
   271     -0.442812     -0.162986      0.013074     19.1224       64.84
   272     -1.083026      0.374407      0.044431     19.2560       64.39
   273      0.464903     -0.865656     -0.030633     19.2613       64.37
   274     -3.337535      0.614784      0.124633     19.3062       64.22
   275     -0.470749      0.216618      0.025225     19.3073       64.22
   276      0.533738     -0.618920     -0.033599     19.3505       64.07
   277     -1.131454     -0.227689      0.044563     19.3621       64.03
   278      0.558308      0.624479     -0.011785     19.4391       63.78
   279     -0.218251      0.194991     -0.025497     19.4875       63.62
   280     -0.757392     -0.791184      0.052242     19.4878       63.62
   281      0.123316     -1.506407     -0.028930     19.5415       63.45
   282      0.241236     -0.282079     -0.012065     19.5561       63.40
   283     -0.932380     -1.196812      0.017179     19.5679       63.36
   284     -1.956397     -1.698850      0.047912     19.6040       63.24
   285     -0.582677     -0.728117      0.010683     19.6079       63.23
   286     -0.642772      0.082806      0.023268     19.6842       62.99
   287      1.993644      0.048513     -0.071233     19.7177       62.88
   288     -0.288154     -0.431360      0.002768     19.7195       62.87
   289     -0.648606     -0.049337      0.022025     19.7368       62.82
   290     -0.691195      1.203931      0.039330     19.7806       62.68
   291     -0.402841     -0.385380     -0.039637     19.8249       62.54
   292     -0.066687      0.107235      0.054874     19.8265       62.53
   293     -0.612743     -0.562239      0.014000     19.8764       62.38
   294     -0.234730     -0.581320     -0.000990     19.9231       62.23
   295     -1.628210     -1.216923      0.041644     19.9571       62.13
   296     -0.916978     -0.344396      0.031589     19.9728       62.08
   297     -0.941486      0.060620      0.035201     20.0391       61.87
   298     -1.017972     -0.389756      0.031516     20.0581       61.81
   299     -0.206737     -2.163644     -0.022753     20.0974       61.69
   300     -2.368308     -1.001962      0.069895     20.1350       61.58
   301     -0.591754     -0.041331      0.021347     20.2377       61.26
   302     -0.549446     -1.482656     -0.002549     20.2750       61.15
   303     -2.904157     -0.845729      0.092589     20.3212       61.01
   304     -0.553295     -0.294501      0.017087     20.3286       60.99
   305     -0.442191     -0.246785      0.011917     20.3995       60.78
