 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:   -0.906017   -0.573200    0.025729 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
   417     -1.561101     -0.410738      0.051637     24.9158       49.76
   418     -3.293590     -2.670968      0.086001     24.9535       49.69
   419      1.246985     -0.585251     -0.053396     25.0148       49.56
   420     -0.182260     -0.480469      0.000362     25.0680       49.46
   421     -0.360870      0.152427      0.014945     25.0903       49.42
   422     -1.092205     -0.647615      0.032052     25.1224       49.35
   423     -1.864526     -0.421444      0.065522     25.1620       49.27
   424     -0.786064      0.027726      0.026525     25.1652       49.27
   425     -2.869763     -0.627271      0.096680     25.1931       49.21
   426     -1.835018     -0.485146      0.061514     25.2386       49.12
   427     -1.876042      0.108055      0.069786     25.2923       49.02
   428      0.361586      0.246016     -0.010881     25.3280       48.95
   429     -0.353682      0.240017      0.015967     25.3488       48.91
   430     -2.596201     -0.273276      0.091598     25.4187       48.78
   431     -0.634423     -0.236556      0.019989     25.4680       48.68
   432     -0.806747     -0.069161      0.028357     25.5622       48.50
   433     -1.102423     -0.050235      0.039583     25.6123       48.41
   434     -0.033899     -1.008747     -0.011423     25.6569       48.32
   435     -0.022790      0.066428      0.000420     25.6846       48.27
   436     -1.062534     -0.242356      0.036701     25.6901       48.26
   437     -1.388384      0.335716      0.055813     25.6953       48.25
   438     -0.824087     -0.178868      0.028447     25.7396       48.17
   439      0.172707     -0.467410     -0.012864     25.8237       48.01
   440      0.729493     -1.779523     -0.050154     25.8588       47.95
   441     -0.225231     -0.996167     -0.005455     25.9021       47.87
   442     -0.862306     -0.137902      0.030170     26.0171       47.65
   443     -1.519970      0.041422      0.056706     26.0285       47.63
   444     -1.430858     -0.499009      0.045987     26.0491       47.60
   445     -1.053717      0.369173      0.042345     26.0901       47.52
   446     -0.487696      0.285446      0.021838     26.1346       47.44
   447     -0.026685     -0.002605      0.000597     26.1895       47.34
   448     -1.142556     -0.206640      0.038457     26.2331       47.26
   449     -0.851974      0.086612      0.029691     26.2449       47.24
   450      0.279617     -0.587805     -0.013440     26.2592       47.22
   451     -0.330724      0.021996      0.011184     26.2933       47.15
   452     -1.829538     -0.608022      0.059183     26.3351       47.08
   453     -2.486947      0.635803      0.100122     26.3691       47.02
   454      0.665652     -0.677160     -0.033642     26.4219       46.92
   455     -0.748366     -0.322170      0.023414     26.4381       46.90
   456     -1.131963     -1.393511      0.023445     26.5014       46.78
   457      0.844142     -2.142028     -0.060031     26.5117       46.77
   458      0.144078     -0.108198     -0.006180     26.5623       46.68
   459     -0.556225      0.785522      0.030811     26.5922       46.62
   460     -0.482271     -0.514889      0.010532     26.6062       46.60
   461     -0.456002     -1.636011     -0.004760     26.6739       46.48
   462     -0.527433     -1.029337      0.005778     26.7077       46.42
   463     -0.934772      0.887814      0.046603     26.7513       46.35
   464     -0.719353     -0.797902      0.016143     26.7915       46.28
   465     -2.549045     -0.173752      0.090861     26.8469       46.18
   466     -0.570720      0.806638      0.031121     26.9011       46.09
   467     -2.000279      0.465727      0.081106     26.9529       46.00
   468     -1.443390      0.815469      0.064312     26.9630       45.98
   469     -1.968513      0.097760      0.070137     26.9752       45.96
   470     -1.922118      0.280642      0.076967     26.9788       45.96
