 Ground state dipole moment in X,Y,Z:   -0.023085   -0.000004    0.000087 a.u.

 Transition dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     9    14    -0.2028094    -0.0000447     0.0004728     0.11280     0.00011
     9    15     0.0000404    -0.1637116     0.2046257     0.11650     0.00020
     9    16    -0.0209184     0.0000319     0.0001625     0.17870     0.00000
     9    17     0.4663765     0.0003170     0.0003011     0.20080     0.00107
     9    18    -0.0003251     0.4981087     0.3076993     0.20630     0.00173
     9    19     0.1938921     0.0001065     0.0003748     0.23210     0.00021
     9    20     0.0000088    -0.0101356     0.0590508     0.27300     0.00002
    10    10    -0.0470869    -0.0000886    -0.0000289     0.00000     0.00000
    10    11    -0.0000700     0.0171027     0.0164315     0.00010     0.00000
    10    12    -0.0004065     0.1873282    -0.1692520     0.05000     0.00008
    10    13     0.0000637    -0.0327523     0.4288666     0.06110     0.00028
    10    14    -0.0048380    -0.0000122     0.0017498     0.07780     0.00000
    10    15     0.0000338    -0.0160741    -0.7075266     0.08150     0.00100
    10    16     0.4007640     0.0008409     0.0004966     0.14370     0.00057
    10    17     0.0029867     0.0000330     0.0000417     0.16580     0.00000
    10    18    -0.0000710     0.0175371     0.0732795     0.17130     0.00002
    10    19     0.0548619     0.0001131    -0.0002808     0.19710     0.00001
    10    20    -0.0001700     0.0598365    -0.2569379     0.23800     0.00041
    11    11    -0.0123596     0.0000355    -0.0000679     0.00000     0.00000
    11    12     0.1878014     0.0003669    -0.0005559     0.04990     0.00004
    11    13    -0.0371473    -0.0000524     0.0008023     0.06100     0.00000
    11    14    -0.0000050    -0.0062454    -0.8454571     0.07770     0.00136
    11    15    -0.0061352    -0.0000311    -0.0013875     0.08140     0.00000
    11    16     0.0008575    -0.3957332    -0.2267184     0.14360     0.00073
    11    17     0.0000008     0.0075240     0.0256940     0.16570     0.00000
    11    18     0.0069097     0.0000262     0.0001167     0.17120     0.00000
    11    19     0.0000921    -0.0491633     0.1061609     0.19700     0.00007
    11    20     0.0653650     0.0001707    -0.0003405     0.23790     0.00002
    12    12    -0.0689649     0.0000176     0.0003073     0.00000     0.00000
    12    13    -0.2288643    -0.0000331     0.0000073     0.01110     0.00001
    12    14     0.0000621    -0.4774477    -0.3092135     0.02780     0.00022
    12    15     0.4254510     0.0000774     0.0002586     0.03150     0.00014
